Rank, Player, PlayerID, Ghost Rating, Games Played, Peak Ghost Rating, ChangeRank, ChangeGames, ChangeGhostRating, Last Game Date
1, "Rait"-"0", 950, 561.75638325249, 76, 584.225313965529, 0, 4, 12.736260857077, 2008-01-25
2, "MarekP"-"0", 2560, 512.119226056429, 45, 540.546663645523, 0, 3, -0.635949802118489, 2008-01-25
3, "alamothe"-"0", 2735, 344.798754569843, 33, 344.798754569843, 6, 4, 62.3093890019221, 2008-01-25
4, "Merano"-"0", 784, 318.40772855242, 23, 322.952376699711, -1, 0, 0, 2007-11-19
5, "opripom"-"0", 496, 305.271175238132, 25, 305.271175238132, 3, 2, 16.5301344796523, 2008-01-20
6, "Noirin"-"0", 1824, 300.760281387941, 32, 319.765014740992, 1, 1, 9.54823430526613, 2008-01-14
7, "admiralnelliott"-"0", 1332, 299.711130571048, 66, 336.789740973766, -2, 0, 0, 2007-10-24
8, "dangermouse"-"0", 222, 299.623845495209, 118, 309.140339947075, -4, 3, -9.51649445186519, 2008-01-15
9, "figlesquidge"-"0", 382, 287.490700799604, 44, 287.490700799604, 12, 5, 62.0738884700536, 2008-01-25
10, "Vampiero"-"0", 2061, 276.073859661587, 54, 299.39616955845, 4, 9, 22.1132421387883, 2008-01-30
11, "TheDevil"-"0", 348, 258.049470661433, 33, 305.889822708528, 0, 0, 0, 2007-11-06
12, "Gannon12"-"0", 1021, 254.229775601899, 23, 254.229775601899, 1, 0, 0, 2007-10-27
13, "yeunghauyip"-"0", 2962, 253.049033293416, 19, 253.049033293416, 4, 1, 15.9461060694654, 2008-01-24
14, "Signalseven"-"0", 1778, 251.426222334026, 49, 276.821372043681, -2, 3, -3.90465459523804, 2008-01-15
15, "bihary"-"0", 2634, 251.108875718174, 22, 251.108875718174, 0, 0, 0, 2007-12-30
16, "Noodlebug"-"0", 877, 250.466204781433, 48, 316.516819555415, -6, 2, -9.37307690555528, 2008-01-31
17, "anlari"-"0", 964, 243.337097819179, 61, 309.971221536254, -11, 5, -48.1629521705532, 2008-01-26
18, "Salmaneser"-"0", 66, 234.118836360125, 127, 272.518200852124, 2, 3, 8.03291015491996, 2008-01-26
19, "Razz"-"0", 3634, 232.758490655715, 23, 232.758490655715, 11, 7, 45.8903335956821, 2008-01-30
20, "fwancophile"-"0", 2903, 230.662736655105, 36, 238.066753844348, 6, 7, 26.8596235049127, 2008-01-29
21, "oneandonly"-"0", 1474, 226.759373136159, 41, 226.759373136159, -2, 0, 0, 2007-11-25
22, "LucusVonLucus"-"0", 1850, 222.9435321018, 19, 250.391737704891, -4, 2, -12.1305257723101, 2008-01-19
23, "Tenent Tonder"-"0", 2037, 220.678743466677, 47, 233.555552235105, 0, 0, 0, 2007-11-15
24, "abab"-"0", 3044, 220.124957793884, 11, 221.780635669113, 12, 4, 44.5421814431502, 2008-01-19
25, "Sun_Tzu"-"0", 1705, 219.438236843531, 26, 239.914650998638, -9, 2, -20.4764141551071, 2008-01-18
26, "undef"-"0", 429, 209.441241428845, 28, 232.817693501379, -1, 0, 0, 2007-11-27
27, "cgwhite32"-"0", 3927, 200.600882838, 15, 200.600882838, 111, 7, 75.9997268296695, 2008-01-31
28, "Valathorn"-"0", 3660, 197.765775119222, 25, 224.078935458788, -6, 6, -26.3131603395657, 2008-01-27
29, "Chiropractisopher"-"0", 4205, 197.103823683067, 12, 197.103823683067, 204, 11, 84.2967070466259, 2008-01-31
30, "Thucydides"-"0", 4102, 194.881863535125, 14, 194.881863535125, 17, 5, 28.2331678731141, 2008-01-28
31, "BoG75"-"0", 3514, 191.899264638926, 9, 191.899264638926, 100, 5, 65.8728935830188, 2008-01-30
32, "hanker"-"0", 1358, 191.343365134205, 9, 191.343365134205, 9, 1, 21.0867604170602, 2008-01-18
33, "SlkySmoothOtter"-"0", 1737, 190.804301512866, 30, 190.804301512866, 7, 1, 18.2832691569658, 2008-01-05
34, "fastspawn"-"0", 1230, 188.982443184127, 18, 201.481204918962, -5, 0, 0, 2007-12-25
35, "bc2000"-"0", 2663, 186.836881073767, 42, 205.826358545667, -8, 7, -6.8803928156014, 2008-01-29
36, "The Mahatma"-"0", 1672, 186.729948346392, 9, 186.729948346392, -5, 0, 0, 2007-12-05
37, "Wombat"-"0", 3257, 186.053296108387, 23, 196.66931667626, 54, 7, 46.3044489922846, 2008-01-29
38, "oziodip"-"0", 3112, 184.654160964395, 8, 184.654160964395, 12, 1, 20.3553414013524, 2008-01-15
39, "Otto Von Bismark"-"0", 1904, 183.474181493712, 21, 198.029001695938, -7, 0, 0, 2007-12-03
40, "DJGizmo"-"0", 3236, 181.859017308169, 14, 202.510819216309, -7, 0, 0, 2007-11-12
41, "sean"-"0", 4029, 180.766266047495, 11, 180.766266047495, 1048, 6, 92.5830815119717, 2008-01-31
42, "Darwyn"-"0", 3410, 180.060326438224, 15, 180.060326438224, 50, 5, 40.4533545485289, 2008-01-26
43, "saulberardo"-"0", 2189, 178.434519688355, 14, 180.524738211477, -8, 2, 1.71391039066734, 2008-01-09
44, "Huey79"-"0", 928, 174.109474184795, 74, 264.529586402499, -6, 0, 0, 2007-10-11
45, "VIOLA"-"0", 3362, 172.718528070414, 18, 214.331596946419, -17, 7, -20.5058739707648, 2008-01-31
46, "Karkand"-"0", 3136, 171.961384771126, 16, 171.961384771126, 8, 4, 11.7726854405649, 2008-01-24
47, "Uhtred"-"0", 3922, 170.073377372454, 16, 190.917081270296, 21, 7, 17.1081976828771, 2008-01-31
48, "Azogar"-"1", 3149, 169.554229813675, 16, 169.554229813675, -5, 0, 0, 2007-11-27
49, "Zxylon"-"1", 1207, 168.65630157915, 41, 209.886744603543, -4, 0, 0, 2007-12-08
50, "gryncat"-"0", 4087, 168.143017392015, 7, 168.143017392015, 20, 3, 15.7410120297781, 2008-01-26
51, "TOgilvie"-"0", 2558, 166.530313942784, 10, 166.530313942784, -3, 0, 0, 2007-11-24
52, "spread"-"0", 3508, 163.83338461487, 15, 185.549240903708, -1, 0, 0, 2007-12-09
53, "stoni90"-"0", 1967, 163.238679419499, 76, 177.189718473888, 22, 5, 15.0415146272959, 2008-01-26
54, "Willigogs"-"0", 1874, 163.057489527537, 25, 186.567878477075, -2, 0, 0, 2007-11-01
55, "GumboGino"-"0", 3287, 160.401717474734, 17, 171.745052564625, 41, 3, 21.2326602966386, 2008-01-23
56, "PolishTeaParty"-"0", 2042, 159.648968194246, 24, 194.813170386212, -1, 0, 0, 2007-12-08
57, "justonething"-"0", 2155, 159.562355953609, 25, 162.756148290642, -1, 0, 0, 2007-08-08
58, "gameover"-"0", 1990, 159.328856614329, 32, 217.019225936468, -16, 1, -10.7147329862588, 2008-01-23
59, "Frost Avenger"-"0", 1912, 159.283590447631, 24, 179.749524793893, -2, 0, 0, 2007-12-03
60, "TeutonicPlague"-"0", 2927, 158.969994359311, 8, 158.969994359311, -2, 0, 0, 2007-10-29
61, "thewonderllama"-"0", 3013, 158.84511290496, 21, 158.84511290496, 10, 3, 7.27802197489979, 2008-01-24
62, "CY-1963"-"0", 3355, 158.373764625858, 14, 158.373764625858, 59, 3, 29.4067360874826, 2008-01-16
63, "mate"-"0", 2447, 158.116974492369, 8, 158.116974492369, -3, 0, 0, 2007-08-09
64, "csibadajoz"-"0", 3265, 158.08375042237, 7, 158.08375042237, 44, 2, 24.5388798496639, 2008-01-30
65, "lardboy"-"0", 952, 157.276857109799, 49, 157.276857109799, 97, 4, 37.1024933461016, 2008-01-29
66, "Braveheart"-"0", 4010, 157.261158053453, 6, 157.261158053453, 10, 2, 9.59665341441882, 2008-01-19
67, "Mr. Spock"-"0", 3090, 157.06180777976, 18, 178.243071028047, -6, 0, 0, 2007-12-05
68, "Iguard52"-"0", 1580, 156.187480030817, 6, 156.187480030817, -5, 0, 0, 2007-08-31
69, "ZeroZero_Peras"-"0", 3513, 155.24538435914, 22, 164.444405217563, -20, 1, -9.1990208584233, 2008-01-05
70, "justanother"-"0", 842, 155.225777864572, 53, 191.370134283632, -6, 0, 0, 2007-08-11
71, "saradomian"-"0", 3363, 155.220843496434, 6, 155.220843496434, 19, 3, 14.8369716816727, 2008-01-15
72, "Jayne"-"0", 2299, 155.178147483768, 6, 155.178147483768, -7, 0, 0, 2007-08-30
73, "dukewilliam"-"0", 3194, 154.50226634835, 11, 175.44664569471, -7, 0, 0, 2007-12-10
74, "joao"-"0", 2769, 153.260056115711, 19, 153.260056115711, -7, 0, 0, 2007-12-04
75, "Spaak"-"0", 1151, 152.733747844684, 9, 152.733747844684, -6, 0, 0, 2007-12-28
76, "bajeezus"-"0", 3803, 152.527527964939, 7, 152.527527964939, 40, 5, 21.8862268381728, 2008-01-20
77, "Locke"-"0", 891, 152.137195088694, 80, 208.745639286664, 3, 4, 6.53048788911045, 2008-01-26
78, "Chrispminis"-"0", 256, 151.991045169248, 32, 225.251954105965, -39, 2, -20.6729414462386, 2008-01-17
79, "mightyrobot"-"0", 3483, 150.827346694451, 32, 161.275987958829, 18, 5, 12.1845211050747, 2008-01-28
80, "Kent C. Tugood"-"0", 2040, 149.844698900825, 28, 152.19419378445, 8, 3, 8.12148261993184, 2008-01-20
81, "S_MaRt"-"0", 2909, 149.36516327529, 24, 165.63911398913, -9, 0, 0, 2007-12-19
82, "Majaii"-"0", 2946, 148.805197107588, 22, 167.127776645315, -36, 2, -18.3225795377271, 2008-01-20
83, "EricHerboso"-"0", 1354, 148.613287853435, 59, 157.666418984789, -9, 0, 0, 2007-11-24
84, "HAL 9000"-"0", 3353, 147.139195183465, 10, 192.934723285562, -7, 0, 0, 2007-12-13
85, "Nick Douglas"-"0", 2957, 146.432435498554, 21, 151.344181453333, -12, 4, -2.81282656243292, 2008-01-30
86, "krokodil"-"0", 1871, 146.112297613822, 22, 163.704935967859, -8, 0, 0, 2007-11-12
87, "Epaminondas"-"0", 955, 145.677316896309, 21, 190.638488753299, -8, 0, 0, 2007-12-10
88, "Catch_or"-"0", 2406, 145.112704254032, 13, 145.112704254032, -7, 0, 0, 2007-10-06
89, "negative_creep"-"0", 1452, 144.769204298735, 29, 200.277341005498, -7, 0, 0, 2007-09-16
90, "El Greco"-"0", 3241, 144.64654692511, 5, 144.64654692511, -7, 0, 0, 2007-12-01
91, "Meer"-"0", 3451, 144.051058857233, 14, 144.051058857233, 33, 2, 15.8562329572385, 2008-01-23
92, "jk1974"-"0", 3666, 143.551399809193, 8, 152.656461557459, -7, 0, 0, 2007-12-30
93, "ssabia"-"0", 3335, 142.054927943811, 9, 151.754788554229, -6, 0, 0, 2007-12-29
94, "MarkP"-"0", 4278, 141.858275820809, 20, 141.858275820809, 271, 14, 39.4627828006043, 2008-01-31
95, "lukas"-"0", 3240, 140.928769464296, 11, 149.387714806783, -6, 0, 0, 2007-12-06
96, "ravendevil"-"0", 3627, 140.92853854582, 19, 155.093707256924, -12, 6, -3.70755015253303, 2008-01-29
97, "Vanguard"-"0", 4271, 140.850496371151, 7, 140.850496371151, 121, 6, 26.5647820854365, 2008-01-21
98, "Withnail160"-"0", 3526, 139.907498860643, 17, 139.907498860643, -3, 5, 0.675780814217148, 2008-01-24
99, "Stephen V"-"0", 3992, 139.526938139979, 14, 144.461562262192, 3, 8, 2.77532328660271, 2008-01-25
100, "diegohb"-"0", 3268, 139.307790770704, 12, 177.954198655585, -6, 0, 0, 2007-12-30
101, "Crusoe"-"0", 3674, 138.843775440357, 17, 147.588858899528, 18, 2, 9.69467102579091, 2008-01-26
102, "Emerson"-"0", 1455, 138.679058537449, 28, 138.679058537449, 65, 1, 18.9183227208123, 2008-01-09
103, "dasratzel"-"0", 4105, 138.435261576359, 5, 138.435261576359, 38, 2, 14.4107680388382, 2008-01-08
104, "Vash"-"0", 993, 137.935944082351, 86, 173.61122487392, -4, 0, 0, 2007-09-18
105, "flashman"-"0", 3474, 137.425223593982, 23, 146.608211070795, -7, 8, -1.01589436715901, 2008-01-22
106, "Barboman"-"0", 123, 136.96217222357, 15, 154.699951963762, -5, 0, 0, 2007-11-10
107, "OpenClickSip"-"0", 1948, 136.517331804195, 14, 170.806814687913, -4, 0, 0, 2007-12-06
108, "Hadrian"-"0", 3064, 136.374446862157, 4, 136.374446862157, 3, 2, 4.36509436922111, 2008-01-29
109, "dbrandao"-"0", 1906, 136.179375382969, 13, 172.917352888282, -5, 0, 0, 2007-09-29
110, "agmarios"-"0", 1406, 135.379819793909, 50, 191.068208213475, -5, 0, 0, 2007-09-18
111, "Raga"-"0", 4112, 135.367595814879, 10, 135.367595814879, 128, 6, 23.2916961362533, 2008-01-31
112, "blipblopin"-"0", 2959, 134.978523121273, 10, 135.657966596845, -6, 0, 0, 2007-10-17
113, "Rasputin31"-"0", 4476, 133.98239418861, 5, 133.98239418861, New Entry, New Entry, New Entry, 2008-01-31
114, "spinebag"-"0", 3116, 133.077393117403, 7, 133.077393117403, -5, 0, 0, 2007-11-16
115, "Zebu"-"0", 2598, 132.756097302667, 2, 132.756097302667, -5, 0, 0, 2007-08-02
116, "maggotjoe"-"0", 3889, 132.690633475858, 13, 143.620812700125, 24, 4, 8.55256033911265, 2008-01-31
117, "lou89laj"-"0", 4051, 132.169344138859, 5, 132.169344138859, 60, 2, 14.489873369868, 2008-01-23
118, "lordnivlak"-"0", 1649, 132.167285722703, 3, 132.167285722703, 76, 1, 16.4082710543231, 2008-01-10
119, "Equinox"-"0", 3780, 131.838553872321, 10, 131.838553872321, 237, 2, 29.2290883390859, 2008-01-27
120, "xukaiwen"-"0", 2928, 131.778491494514, 4, 131.778491494514, -8, 0, 0, 2007-10-28
121, "crimson"-"0", 1700, 131.002487690001, 23, 139.339971801571, -28, 1, -8.33748411156952, 2008-01-30
122, "habs fanatic"-"0", 4553, 130.934137186759, 4, 130.934137186759, New Entry, New Entry, New Entry, 2008-01-24
123, "mapleleaf"-"1", 3959, 130.824836450358, 17, 163.38531838407, 37, 12, 10.6163715556492, 2008-01-24
124, "Sparky McGee"-"0", 3108, 129.301552361433, 2, 129.301552361433, -7, 0, 0, 2007-09-25
125, "swampy11"-"1", 1942, 129.284888812792, 5, 136.967617586661, -7, 0, 0, 2007-10-03
126, "TimuraKhan"-"0", 3484, 129.071573427095, 7, 129.071573427095, -6, 0, 0, 2007-12-22
127, "tester5"-"0", 1177, 128.854470814685, 13, 128.854470814685, 51, 2, 11.2638091265826, 2008-01-12
128, "fearlessmidget"-"0", 3774, 128.543723138683, 6, 128.543723138683, New Entry, New Entry, New Entry, 2008-01-26
129, "alealeale"-"0", 3033, 128.509780631909, 10, 128.509780631909, -7, 0, 0, 2007-11-28
130, "CharlieWest"-"0", 2590, 128.227090588297, 4, 128.227090588297, -7, 0, 0, 2007-08-19
131, "Volgograd"-"0", 3403, 128.069566958158, 3, 135.658038081823, -6, 0, 0, 2007-12-09
132, "Revolver"-"0", 3086, 127.346903680503, 14, 139.276126580032, -5, 0, 0, 2007-10-31
133, "danomalley"-"0", 2453, 127.147345934421, 20, 136.216086438314, -5, 0, 0, 2007-12-27
134, "Sarge"-"0", 4593, 126.873339593994, 3, 126.873339593994, New Entry, New Entry, New Entry, 2008-01-31
135, "Domino"-"1", 4578, 126.844614358954, 4, 126.844614358954, New Entry, New Entry, New Entry, 2008-01-30
136, "Iron Chancellor"-"0", 3081, 126.780205203904, 8, 150.906843839008, -7, 0, 0, 2007-10-24
137, "Bomber"-"0", 3611, 126.626726869884, 2, 126.626726869884, -7, 0, 0, 2007-12-03
138, "El_Perro_Artero"-"0", 3416, 126.498291076718, 13, 131.159458939616, -25, 1, -4.66116786289862, 2008-01-19
139, "malomalo"-"0", 2594, 125.940173175603, 3, 125.940173175603, -6, 0, 0, 2007-11-02
140, "experienced"-"0", 701, 125.59034328276, 16, 133.150804489021, -6, 0, 0, 2007-09-10
141, "Gerrbil"-"0", 3109, 125.526485072295, 8, 134.994155100643, -6, 0, 0, 2007-11-01
142, "The Donkey"-"0", 1564, 125.442955729879, 8, 125.536376427668, -6, 0, 0, 2007-09-09
143, "Sm3llymcg3e3"-"1", 4191, 125.342710066764, 6, 130.750073898804, -28, 3, -5.40736383203922, 2008-01-15
144, "RetroLux"-"0", 4426, 124.838139373002, 2, 124.838139373002, New Entry, New Entry, New Entry, 2008-01-31
145, "rongo54"-"0", 2056, 124.154578955813, 2, 124.154578955813, -6, 0, 0, 2007-10-08
146, "GattieousFlagellum"-"0", 695, 123.931609923205, 10, 123.931609923205, -4, 0, 0, 2007-10-10
147, "BrianW"-"0", 3058, 123.885489614695, 11, 133.131694639712, -4, 0, 0, 2007-10-17
148, "bradster"-"0", 2484, 123.347443207046, 19, 146.30932579926, -3, 0, 0, 2007-08-24
149, "DumbDrummer"-"0", 2361, 123.007633571429, 36, 172.507580446223, -87, 8, -33.3377342513742, 2008-01-31
150, "Clemenceau"-"0", 2700, 122.805968931999, 5, 130.56280980382, -4, 0, 0, 2007-08-25
151, "E&auml;rendil"-"1", 715, 122.777181735802, 17, 179.247457482651, -4, 0, 0, 2007-12-13
152, "whoami"-"0", 2971, 122.772643284003, 10, 138.186712409304, -4, 0, 0, 2007-11-22
153, "Satao"-"0", 4165, 122.610477718248, 5, 122.610477718248, 19, 3, 3.91743880228982, 2008-01-18
154, "Manu89"-"0", 4606, 122.441284601023, 2, 122.441284601023, New Entry, New Entry, New Entry, 2008-01-29
155, "Liam"-"0", 1735, 122.405408480034, 24, 129.402024067951, -5, 0, 0, 2007-10-07
156, "TheGhostmaker"-"0", 2188, 122.273658880902, 14, 129.420784428959, 114, 4, 13.8467292925757, 2008-01-19
157, "(RTC) Lt. Crackers"-"1", 3701, 122.170025201186, 5, 123.034119726807, -6, 0, 0, 2007-11-18
158, "nero111"-"0", 4415, 122.094678663724, 1, 122.094678663724, New Entry, New Entry, New Entry, 2008-01-15
159, "gilkes"-"0", 2620, 122.063960652881, 6, 122.063960652881, -7, 0, 0, 2007-08-21
160, "Aeneas"-"0", 4582, 121.98529137201, 3, 121.98529137201, New Entry, New Entry, New Entry, 2008-01-30
161, "BrianJSmitty"-"0", 4628, 121.811667049879, 3, 121.811667049879, New Entry, New Entry, New Entry, 2008-01-30
162, "ice point"-"0", 3512, 121.733098256, 7, 132.487657871446, -8, 0, 0, 2007-12-23
163, "bd-Jake"-"0", 3327, 121.572448248097, 12, 147.94022610746, -8, 0, 0, 2007-11-24
164, "Mcshade"-"0", 4458, 121.474232154855, 6, 121.474232154855, New Entry, New Entry, New Entry, 2008-01-30
165, "Bud Fox"-"0", 3607, 121.301146102182, 2, 121.301146102182, -9, 0, 0, 2007-12-03
166, "Machtyn"-"0", 3824, 120.8678950396, 2, 120.8678950396, 36, 1, 5.52204708135397, 2008-01-15
167, "MATV1701"-"0", 4228, 120.747106184901, 10, 120.747106184901, 955, 7, 34.8841478027446, 2008-01-30
168, "Wayner73"-"0", 3560, 120.175326701212, 5, 120.175326701212, -7, 0, 0, 2007-12-09
169, "Amemet"-"0", 3485, 120.151532967541, 2, 120.151532967541, -6, 0, 0, 2007-12-12
170, "Deco"-"0", 3418, 119.820504120351, 3, 119.820504120351, -5, 0, 0, 2007-11-01
171, "svetozar"-"0", 2794, 119.766302733591, 10, 119.766302733591, -5, 0, 0, 2007-11-05
172, "Darchelian"-"0", 3258, 119.68713183063, 5, 127.611885938204, -4, 0, 0, 2007-12-09
173, "neogeo"-"0", 4104, 119.494114184783, 2, 119.494114184783, -4, 0, 0, 2007-12-16
174, "Gissett75"-"0", 1869, 119.232580488795, 32, 188.6848688225, -4, 0, 0, 2007-09-01
175, "Schwerpunkt"-"0", 1611, 119.192295280722, 41, 132.762256093587, -4, 0, 0, 2007-09-21
176, "kuzuryusen"-"0", 3584, 118.39036007647, 4, 125.306131760621, -2, 0, 0, 2007-11-24
177, "Keyseir"-"0", 434, 118.319978047918, 29, 129.551928134532, -45, 1, -7.65192188072344, 2008-01-30
178, "Lt_Awesome"-"0", 3370, 118.248873035792, 19, 118.248873035792, 322, 1, 20.7588123656455, 2008-01-09
179, "secrets"-"0", 4019, 118.120435540475, 4, 123.823561056471, -35, 1, -5.70312551599538, 2008-01-25
180, "Tman401"-"0", 4044, 117.84757295196, 9, 124.898017765848, -5, 2, -0.0842456813976469, 2008-01-23
181, "rtcdvm"-"0", 3691, 117.756419921544, 6, 117.756419921544, -5, 0, 0, 2007-11-22
182, "Havendak"-"0", 2972, 117.559426485003, 2, 117.559426485003, -3, 0, 0, 2007-09-03
183, "ryanwsmith"-"0", 4284, 117.552509813674, 7, 130.405472154893, 95, 5, 9.90775507912393, 2008-01-27
184, "Rakari"-"0", 4072, 117.390935102308, 2, 117.390935102308, -4, 0, 0, 2007-12-28
185, "McAttck"-"0", 3781, 117.377570922456, 1, 117.377570922456, -4, 0, 0, 2007-11-24
186, "HbHadast"-"0", 4652, 117.007540307992, 1, 117.007540307992, New Entry, New Entry, New Entry, 2008-01-30
187, "Popota"-"0", 4308, 116.995521708724, 1, 116.995521708724, -5, 0, 0, 2007-12-29
188, "Wagfop"-"0", 2139, 116.930176497777, 15, 146.157346950298, -5, 0, 0, 2007-11-20
189, "megapippa"-"0", 1606, 116.887814127989, 29, 136.664078173662, -40, 7, -5.59791276772677, 2008-01-20
190, "GaryOak"-"1", 4141, 116.852225134832, 9, 116.852225134832, 38, 4, 3.17823308599981, 2008-01-21
191, "Piazza"-"0", 3437, 116.758967176744, 9, 131.587961136286, -7, 0, 0, 2007-12-06
192, "nem0s"-"0", 4014, 116.638655462185, 1, 116.638655462185, -7, 0, 0, 2007-12-03
193, "Sudo_Nym"-"0", 2622, 116.438266160135, 5, 123.114762682679, -6, 0, 0, 2007-12-03
194, "rossetti"-"0", 4425, 116.41383758129, 2, 116.41383758129, New Entry, New Entry, New Entry, 2008-01-31
195, "Thanix"-"0", 4103, 116.358929687695, 6, 116.358929687695, 193, 2, 15.0529056230286, 2008-01-19
