Rank, Player, PlayerID, Ghost Rating, Games Played, Peak Ghost Rating, ChangeRank, ChangeGames, ChangeGhostRating, Last Game Date
1, "SplitDiplomat"-"0", 36887, 554.99518582562, 838, 556.010000359612, 0, 1, 11.0164238064676, 2014-08-28
2, "President Eden"-"0", 25958, 459.346270732009, 255, 576.948470577706, Re-Entry, Re-Entry, Re-Entry, 2014-08-07
3, "Barn3tt"-"0", 20728, 419.31703022667, 696, 540.276446729225, -1, 0, 0, 2014-05-15
4, "uclabb"-"0", 5775, 413.965958914453, 31, 413.965958914453, -1, 0, 0, 2014-07-12
5, "Hellenic Riot"-"0", 23172, 407.656424993, 76, 414.380700619329, -1, 0, 0, 2014-06-27
6, "seth24c"-"0", 43472, 397.528269888317, 226, 397.528269888317, 12, 7, 155.627297151989, 2014-08-31
7, "peterwiggin"-"0", 2547, 382.506620600386, 22, 382.506620600386, -2, 0, 0, 2014-07-27
8, "Gen. Lee"-"0", 46077, 347.072487141016, 173, 360.885411734359, -2, 0, 0, 2014-07-30
9, "Partysane"-"0", 41415, 295.425038412707, 545, 297.5398777884, -1, 0, 0, 2014-06-07
10, "lambda"-"0", 58210, 276.943989898386, 117, 359.592216663147, -3, 13, -54.3560125484328, 2014-08-25
11, "NoFog"-"0", 38917, 272.295172278017, 110, 283.588020510453, -1, 0, 0, 2014-05-17
12, "emfries"-"1", 36954, 270.200058309195, 67, 283.869950077058, 23, 8, 70.3979201159068, 2014-08-28
13, "2ndWhiteLine"-"0", 37127, 267.491003990784, 177, 271.556975234974, -2, 1, -3.87668121725773, 2014-08-07
14, "Rhinos"-"0", 58143, 264.19222724607, 62, 293.65725017074, -5, 1, -13.8422392594638, 2014-08-09
15, "`ZaZaMaRaNDaBo`"-"0", 16392, 261.69959692528, 108, 338.785469957404, -1, 0, 0, 2014-05-13
16, "santosh"-"0", 30286, 254.834892407056, 154, 290.627737449497, -1, 0, 0, 2014-07-22
17, "Filliam H Muffman"-"0", 36606, 241.620835625762, 150, 338.151405924126, 2, 0, 0, 2014-03-01
18, "ccga4"-"0", 50681, 236.008466733241, 163, 253.283403523298, 2, 1, 1.6875195921283, 2014-08-20
19, "ryanrogers"-"0", 39770, 233.386365427085, 253, 326.574573412985, 2, 0, 0, 2014-07-09
20, "Nikola Maric Eto"-"0", 49036, 231.309093865929, 87, 232.603165973665, 6, 4, 11.781431121231, 2014-08-09
21, "DeltaAjaxNiner"-"0", 50356, 227.171367824327, 60, 274.925495668792, Re-Entry, Re-Entry, Re-Entry, 2014-08-18
22, "PiC"-"0", 40784, 224.98640194087, 103, 236.121501688524, 6, 17, 8.85683026614439, 2014-08-31
23, "Lando Calrissian"-"0", 19131, 223.872974910991, 841, 301.357898411371, 0, 0, 0, 2014-05-20
24, "ottovanbis"-"1", 14920, 223.276477440993, 75, 291.374701429255, -7, 6, -26.6211156671374, 2014-08-17
25, "Chaqa"-"0", 30476, 221.889802962305, 455, 302.526947741237, 2, 1, 3.0238451728014, 2014-08-08
26, "The Czech"-"0", 17724, 221.656566298331, 1494, 394.238428198112, 3, 8, 11.7020697124202, 2014-08-30
27, "Puddle"-"0", 5650, 214.90525449154, 23, 214.90525449154, Re-Entry, Re-Entry, Re-Entry, 2014-08-11
28, "DILK"-"0", 34961, 209.662960071503, 129, 272.924819456358, -4, 1, -12.7068460649396, 2014-08-20
29, "Obscurity"-"0", 13217, 206.469170277612, 83, 206.469170277612, 2, 0, 0, 2014-06-20
30, "benjormungand"-"0", 20297, 202.189789102304, 133, 251.618407846464, 3, 0, 0, 2014-04-01
31, "PSMongoose"-"0", 36134, 199.962777630933, 51, 221.051562279989, 3, 0, 0, 2014-06-08
32, "yaks"-"0", 44001, 199.877863025291, 71, 199.877863025291, 8, 1, 9.40009178667847, 2014-08-06
33, "czechveck"-"0", 12871, 196.628818321425, 79, 196.628818321425, 4, 1, 1.22804338140062, 2014-08-07
34, "fulhamish"-"0", 28562, 189.305865029234, 239, 208.955097304148, 7, 0, 0, 2014-07-06
35, "Gerry"-"0", 46521, 187.948691882317, 87, 190.521703504404, 48, 6, 40.7903344773336, 2014-08-13
36, "KalelChase"-"0", 30452, 186.826217700953, 52, 209.049965044229, 7, 0, 0, 2014-05-27
37, "Bilbo"-"0", 12259, 186.460082366248, 131, 213.133701411491, 7, 0, 0, 2014-03-09
38, "Bohonk"-"0", 43473, 183.970104807922, 331, 267.304913822956, -6, 4, -21.2544360205442, 2014-08-31
39, "Al Swearengen"-"1", 44671, 178.502685899153, 170, 265.212022804657, -3, 4, -19.4897954820199, 2014-08-31
40, "May"-"0", 39912, 177.010768430735, 15, 183.654534795173, 6, 0, 0, 2014-03-18
41, "Rancher"-"0", 28079, 176.998705330223, 226, 177.717361065222, 6, 0, 0, 2014-07-19
42, "Andruha"-"0", 34770, 176.869199881598, 71, 176.869199881598, 6, 0, 0, 2014-04-06
43, "tektelmektel"-"0", 22595, 175.891046685346, 84, 183.176973140673, 2, 2, -5.13523534746128, 2014-08-04
44, "Jacksonisboss"-"1", 59915, 175.763913642526, 9, 177.045176330913, 6, 0, 0, 2014-06-29
45, "chuyelchulo"-"0", 25394, 171.798431896599, 50, 189.310828628376, 6, 0, 0, 2014-04-26
46, "Bonaparte23"-"0", 46942, 171.674177786677, 122, 185.638448814193, 6, 0, 0, 2014-05-05
47, "davicivad"-"0", 49762, 171.077383592623, 76, 180.841690429714, 6, 0, 0, 2014-03-29
