Rank, Player, PlayerID, Ghost Rating, Games Played, Peak Ghost Rating, ChangeRank, ChangeGames, ChangeGhostRating, Last Game Date
1, "caranim"-"0", 17520, 107.731092436975, 2, 107.731092436975, New Entry, New Entry, New Entry, 2009-10-01
2, "Nenno51"-"0", 8294, 104.159663865546, 1, 104.159663865546, New Entry, New Entry, New Entry, 2009-10-02
3, "Stukus"-"0", 14373, 103.865546218487, 1, 103.865546218487, New Entry, New Entry, New Entry, 2009-10-01
4, "Snorri"-"0", 15681, 102.100840336134, 1, 102.100840336134, New Entry, New Entry, New Entry, 2009-10-01
5, "bkpark0813"-"0", 18443, 101.512605042017, 1, 101.512605042017, New Entry, New Entry, New Entry, 2009-10-02
6, "Cubsfn"-"0", 18465, 100.042016806723, 1, 100.042016806723, New Entry, New Entry, New Entry, 2009-10-02
7, "RussianSteamRoller"-"0", 18831, 98.8655462184874, 1, 100, New Entry, New Entry, New Entry, 2009-10-01
8, "Nupogodi"-"0", 18893, 98.8655462184874, 1, 100, New Entry, New Entry, New Entry, 2009-10-01
9, "mark999"-"0", 402, 98.5714285714286, 1, 100, New Entry, New Entry, New Entry, 2009-10-01
10, "airborne"-"0", 10862, 98.5714285714286, 1, 100, New Entry, New Entry, New Entry, 2009-10-01
11, "Tantris"-"0", 16909, 98.5714285714286, 1, 100, New Entry, New Entry, New Entry, 2009-10-01
12, "tilMletokill"-"0", 17061, 98.5714285714286, 1, 100, New Entry, New Entry, New Entry, 2009-10-01
13, "HagarSA"-"0", 17322, 98.5714285714286, 1, 100, New Entry, New Entry, New Entry, 2009-10-02
14, "NeoAllende"-"0", 17808, 98.5714285714286, 1, 100, New Entry, New Entry, New Entry, 2009-10-02
15, "thechampishere"-"1", 18798, 98.5714285714286, 1, 100, New Entry, New Entry, New Entry, 2009-10-02
16, "WeekEnd_Warrior"-"0", 18848, 98.5714285714286, 1, 100, New Entry, New Entry, New Entry, 2009-10-01
17, "Cecil Lizard"-"0", 18884, 98.5714285714286, 1, 100, New Entry, New Entry, New Entry, 2009-10-01
18, "turt7"-"0", 18887, 98.5714285714286, 1, 100, New Entry, New Entry, New Entry, 2009-10-01
19, "jagdplayer"-"0", 19218, 98.5714285714286, 1, 100, New Entry, New Entry, New Entry, 2009-10-02
20, "jc"-"0", 19515, 98.5714285714286, 1, 100, New Entry, New Entry, New Entry, 2009-10-01
