Rank, Player, PlayerID, Ghost Rating, Games Played, Peak Ghost Rating, ChangeRank, ChangeGames, ChangeGhostRating, Last Game Date
1, "sswang"-"0", 7490, 313.037981041303, 12, 313.037981041303, 1, 2, 77.645748278613, 2009-03-21
2, "MadMarx"-"0", 5210, 294.021644642809, 15, 294.021644642809, -1, 0, 0, 2009-02-04
3, "Spartan 00256"-"0", 6559, 202.7059507343, 3, 202.7059507343, 1, 0, 0, 2008-11-12
4, "xgongiveit2ya55"-"0", 5385, 191.277648368267, 18, 213.668018931223, -1, 1, -11.5925847495919, 2009-03-17
5, "Braveheart"-"0", 4010, 189.269657007001, 16, 212.906638965634, 0, 0, 0, 2009-02-11
6, "Silver Wolf"-"0", 7150, 184.714743514827, 6, 184.714743514827, 393, 4, 95.8167843311535, 2009-03-25
7, "Akroma"-"0", 8566, 183.044772207387, 3, 183.044772207387, 0, 1, 2.38138780359043, 2009-03-20
8, "Gary"-"0", 7014, 179.183216115239, 3, 179.183216115239, 0, 0, 0, 2009-01-29
9, "mapleleaf"-"1", 3959, 176.682810364637, 21, 204.836267971888, -3, 2, -9.25099937654852, 2009-03-16
10, "stratagos"-"0", 8290, 172.444098681312, 14, 172.444098681312, 2, 1, 7.00319582178031, 2009-03-15
11, "Babak"-"0", 11051, 172.209694602029, 5, 182.646645790031, 11, 3, 31.9996656240562, 2009-03-18
12, "DingleberryJones"-"0", 8019, 170.464421832656, 7, 184.031692118338, -1, 1, 3.28887377384925, 2009-03-05
13, "TheMasterGamer"-"0", 6454, 167.993354978987, 7, 178.174770432259, -4, 1, -10.181415453272, 2009-03-20
14, "cgwhite32"-"0", 3927, 159.992405190385, 14, 166.403237509911, -1, 1, 3.0979241096118, 2009-03-17
15, "djbent"-"0", 11891, 156.197930240059, 5, 167.907265559467, -5, 3, -11.7093353194074, 2009-03-29
16, "MarekP"-"0", 2560, 153.373667873729, 19, 232.553856069141, 3, 2, 10.1531959291702, 2009-03-28
17, "Bazin"-"0", 4633, 151.958883798417, 4, 161.168513119534, -3, 0, 0, 2008-12-27
18, "Jacob"-"0", 9013, 148.214741429989, 4, 148.214741429989, 0, 1, 4.6373392527988, 2009-03-05
19, "NevilleChamberlain"-"0", 6800, 145.47911255939, 6, 163.647302924934, -3, 0, 0, 2008-12-28
20, "flashman"-"0", 3474, 144.259848773121, 23, 144.259848773121, 92, 2, 42.9516892731334, 2009-03-28
21, "Polar Bear"-"0", 4761, 144.003583824658, 5, 152.731073753425, -4, 0, 0, 2008-12-28
22, "Centurian"-"0", 6265, 140.931500233117, 11, 158.531761051945, -1, 0, 0, 2009-01-26
23, "wooooo"-"0", 10598, 139.647782403087, 1, 139.647782403087, 0, 0, 0, 2009-02-20
24, "Talus Proteus"-"0", 7632, 136.071543172493, 1, 136.071543172493, 0, 0, 0, 2009-01-13
25, "Nodosaria"-"0", 7989, 135.573177842566, 1, 135.573177842566, New Entry, New Entry, New Entry, 2009-03-20
26, "dmwits"-"0", 8439, 135.409281060465, 1, 135.409281060465, -1, 0, 0, 2008-11-03
27, "dangermouse"-"0", 222, 134.923366284406, 21, 152.922951892678, -7, 1, -8.17717371420645, 2009-03-02
28, "abgemacht"-"0", 4946, 134.455986446038, 9, 134.455986446038, 20, 1, 8.24949139985641, 2009-03-29
29, "MANoWARchests"-"0", 9991, 134.285714285714, 1, 134.285714285714, -3, 0, 0, 2009-01-18
30, "Commodore64"-"1", 10508, 134.285714285714, 1, 134.285714285714, -3, 0, 0, 2008-12-23
31, "Rory773"-"0", 10993, 134.285714285714, 1, 134.285714285714, New Entry, New Entry, New Entry, 2009-03-12
32, "mac"-"0", 8441, 134.259437239522, 1, 134.259437239522, -4, 0, 0, 2008-12-17
33, "balls deep in the sudan"-"0", 9683, 133.959183673469, 1, 133.959183673469, -4, 0, 0, 2008-12-27
34, "Kompole"-"0", 10996, 133.770515257439, 2, 133.770515257439, 3, 1, 0.709025787496529, 2009-03-27
35, "Gnarfflinger"-"0", 10653, 133.684246409416, 1, 133.684246409416, New Entry, New Entry, New Entry, 2009-03-09
36, "Thucydides"-"0", 4102, 133.632653061224, 1, 133.632653061224, -3, 0, 0, 2008-10-26
37, "lulzworth"-"0", 10137, 133.324781341108, 1, 133.324781341108, -2, 0, 0, 2008-12-06
