Rank, Player, PlayerID, Ghost Rating, Games Played, Peak Ghost Rating, ChangeRank, ChangeGames, ChangeGhostRating, Last Game Date
1, "SplitDiplomat"-"0", 36887, 402.242023809174, 1021, 495.624226485106, 0, 0, 0, 2018-09-14
2, "Nikola Maric Eto"-"0", 49036, 367.383982796214, 292, 369.893730086989, 0, 1, -2.50974729077541, 2018-12-02
3, "genghiz"-"0", 64274, 285.642109687785, 206, 297.679476092901, 0, 0, 0, 2018-10-08
4, "naked"-"0", 68573, 260.943000306527, 89, 264.724782919665, 0, 0, 0, 2018-10-15
5, "swordsman3003"-"0", 36106, 258.529414210302, 173, 258.529414210302, 2, 1, 7.88799474084402, 2018-12-19
6, "xorxes"-"0", 42435, 252.956863523254, 161, 284.92325958959, 0, 0, 0, 2018-09-26
7, "josemurc"-"0", 17667, 246.925484442088, 296, 273.855756485122, -2, 4, -9.40318200863479, 2018-12-26
8, "NoFog"-"0", 38917, 228.879434437486, 131, 247.390167960494, 0, 0, 0, 2018-10-03
9, "rokakoma"-"0", 25125, 221.605581161572, 171, 249.386643780996, Re-Entry, Re-Entry, Re-Entry, 2018-12-27
10, "Fortress Door"-"0", 42498, 209.947174556151, 225, 241.763831578712, -1, 0, 0, 2018-10-19
11, "Claesar"-"0", 74492, 206.456349937486, 162, 209.448470951073, 12, 8, 28.0801404665081, 2018-12-29
12, "y2kjbk"-"0", 46594, 204.410494468227, 252, 235.400560983112, 0, 0, 0, 2018-09-07
13, "Tugster"-"0", 86502, 202.147312789718, 247, 235.495644024033, -2, 9, -2.35633184479877, 2018-12-26
14, "cspieker"-"0", 41816, 202.0975384797, 233, 248.026453813371, -4, 1, -3.21672293225322, 2018-12-20
15, "Tibarius"-"0", 17272, 196.905220658907, 109, 224.72842476578, -2, 0, 0, 2018-11-28
16, "dagabs0"-"0", 54191, 195.273560553621, 684, 206.618898785615, 9, 4, 17.5523706869798, 2018-12-28
17, "Yoyoyozo"-"0", 65915, 189.924983345511, 136, 213.970823282569, 0, 1, -2.83537745627814, 2018-12-20
18, "The Czech"-"0", 17724, 188.041081398849, 2116, 274.240716179333, -2, 3, -6.51350591115491, 2018-12-26
19, "Tantrum"-"0", 72322, 186.18586155957, 228, 188.158173584948, 2, 5, 5.92045894809024, 2018-12-25
20, "czechveck"-"0", 12871, 186.018208475471, 327, 199.747191509153, -6, 3, -9.87793276507281, 2018-12-25
21, "kostas71"-"0", 11917, 180.922257453109, 237, 205.987353647097, -1, 0, 0, 2018-07-09
22, "rdrivera2005"-"0", 16691, 179.56066175333, 195, 208.802358769497, 2, 1, 1.77749346086591, 2018-12-20
23, "chipo"-"0", 87214, 178.480551562979, 10, 183.691388922201, -1, 0, 0, 2018-08-20
24, "Javatiger"-"0", 86168, 176.827597318282, 48, 182.544300158842, -5, 2, -5.71670284055989, 2018-12-20
25, "CptMike"-"0", 79656, 172.608073091449, 65, 172.608073091449, 1, 0, 0, 2018-11-04
26, "Your Humble Narrator"-"0", 38075, 169.245974328406, 83, 173.475173097369, 1, 2, -2.12657056712695, 2018-12-05
27, "!"-"0", 75336, 168.966240532223, 61, 168.966240532223, 4, 1, 5.39822403648412, 2018-12-07
28, "svenubl"-"0", 73485, 167.704724298483, 152, 178.035493230789, 1, 1, 3.62339833918466, 2018-12-19
29, "2ndWhiteLine"-"0", 37127, 166.376511962142, 411, 223.09951358939, -1, 0, 0, 2018-10-20
30, "Lando Calrissian"-"0", 19131, 164.24613657125, 1194, 220.043339971786, 7, 4, 5.37270817610988, 2018-12-20
31, "chluke"-"0", 49505, 163.91341049935, 70, 182.181974470701, -1, 0, 0, 2018-09-26
32, "tatertrotts"-"0", 73226, 162.916519223499, 149, 185.356334562575, 0, 0, 0, 2018-09-13
33, "The Lord Duke"-"0", 24015, 162.273486456333, 127, 165.80750051291, 0, 0, 0, 2018-11-23
34, "brkyzgn"-"0", 68900, 161.142846347935, 113, 175.035322281991, 7, 4, 5.42765767971099, 2018-12-20
35, "trip"-"0", 11231, 161.031325743871, 178, 174.67724071744, 0, 0, 0, 2018-09-01
36, "justinnhoo"-"0", 23444, 160.671108138715, 138, 169.630657087266, 0, 0, 0, 2018-09-23
37, "personian"-"0", 23962, 159.721480555707, 146, 159.722761694618, 3, 2, 3.61418731815374, 2018-12-28
38, "peterwiggin"-"0", 2547, 157.331938092802, 113, 162.843367303841, 1, 2, -0.452775230181288, 2018-12-29
39, "LeonWalras"-"0", 54996, 154.643990617453, 31, 154.643990617453, 3, 0, 0, 2018-11-30
40, "acamer4"-"0", 81701, 152.460571065187, 64, 161.36235836119, 5, 0, 0, 2018-10-14
41, "Theoneandonly"-"0", 99646, 150.984913822117, 66, 172.110648610836, 10, 17, 2.9461154214998, 2018-12-31
42, "micha"-"0", 75625, 150.754736461623, 40, 153.784375294253, 20, 4, 7.88870655903082, 2018-12-30
43, "fulhamish"-"0", 28562, 149.760420562861, 291, 154.132757983201, 0, 2, -4.37233742033979, 2018-12-14
44, "MinuTeineKasutaja"-"0", 21225, 149.052616896347, 122, 152.798039593241, 4, 0, 0, 2018-09-21
45, "bo_sox48"-"0", 38739, 148.89850474429, 186, 171.194864080441, 2, 1, -2.61849358477161, 2018-12-04
46, "Storiko"-"0", 69145, 148.784129714802, 7, 150.940421449799, 3, 0, 0, 2018-11-11
47, "thebullmoose"-"0", 74748, 146.237661483619, 138, 157.744753247399, -1, 5, -5.44243846587671, 2018-12-28
48, "ali2542"-"0", 51841, 146.121617330814, 22, 148.200462060402, 2, 1, -2.07884472958787, 2018-12-20
49, "joshbeaudette"-"0", 20500, 146.020756613159, 60, 148.136999462626, 4, 0, 0, 2018-07-17
50, "breaca"-"0", 62512, 145.476477647001, 52, 147.584832395508, 5, 0, 0, 2018-10-23
51, "SmuRumS"-"0", 85789, 145.32335388774, 12, 145.32335388774, 8, 2, 1.52836857373808, 2018-12-28
52, "grahamso1"-"0", 51192, 145.095248738043, 81, 154.14114999889, 0, 2, -2.63042137081592, 2018-12-20
53, "Beaumont"-"0", 56997, 144.877089210356, 38, 145.60610753917, 1, 2, -0.729018328814135, 2018-12-18
54, "Drister"-"0", 28074, 144.238718192097, 3, 144.238718192097, 3, 0, 0, 2018-09-10
55, "dipperjay"-"0", 94938, 144.183358881138, 46, 148.726852972707, 3, 0, 0, 2018-11-24
56, "ishirkmywork"-"0", 68934, 143.811236583907, 32, 149.038050237456, 0, 2, -1.58104728976369, 2018-12-25
57, "Ezio"-"0", 81514, 143.629814450292, 96, 158.41734030683, 3, 0, 0, 2018-10-15
58, "Ogion"-"0", 58511, 143.531362583296, 156, 194.932942539072, -20, 2, -15.0817904662221, 2018-12-07
59, "Kubrick"-"0", 47207, 142.18504925998, 64, 150.569160658052, 4, 0, 0, 2018-09-04
60, "MadMarx"-"0", 5210, 142.12491953973, 11, 142.12491953973, 4, 0, 0, 2018-09-06
61, "Kugs"-"0", 81684, 142.028760018474, 22, 146.175367378812, 4, 0, 0, 2018-11-19
62, "AlexNesta"-"0", 19901, 141.301551656853, 147, 159.595600285526, 4, 0, 0, 2018-09-17
63, "mdrltc"-"0", 21196, 140.867636476303, 99, 155.903270493303, -2, 1, -2.04155994893193, 2018-12-07
64, "Beaumax"-"0", 30126, 140.155381959448, 61, 146.489886309125, 3, 2, -0.776078558787873, 2018-12-24
65, "Nealkochhar"-"0", 83727, 139.790351446414, 37, 157.54363255221, Re-Entry, Re-Entry, Re-Entry, 2018-12-30
66, "Rhinos"-"0", 58143, 139.410344248479, 45, 143.219951678029, 2, 0, 0, 2018-11-30
67, "Bob Genghiskhan"-"0", 26333, 139.293497580005, 327, 158.49194250812, 2, 0, 0, 2018-10-15
68, "lint"-"0", 73801, 139.095548975393, 30, 143.15651963441, 3, 0, 0, 2018-11-15
69, "Chesney"-"0", 95217, 139.06705310407, 2, 139.06705310407, 3, 0, 0, 2018-10-27
70, "sadarchie"-"0", 102724, 137.834681156243, 3, 137.834681156243, 432, 2, 39.2632525848139, 2018-12-24
71, "Tutti"-"0", 66729, 137.364560518223, 99, 142.354903619825, 2, 0, 0, 2018-08-11
72, "Marina"-"0", 72716, 137.251176104697, 14, 137.861748857471, 2, 0, 0, 2018-11-01
73, "curupira"-"0", 62920, 136.945091817885, 181, 178.260282675115, 2, 0, 0, 2018-10-15
