Rank, Player, PlayerID, Ghost Rating, Games Played, Peak Ghost Rating, ChangeRank, ChangeGames, ChangeGhostRating, Last Game Date
1, "SplitDiplomat"-"0", 36887, 357.440685583667, 701, 400.029093129206, 0, 20, 7.935419026369, 2013-01-29
2, "Barn3tt"-"0", 20728, 334.863205242522, 499, 376.552072444915, 0, 10, 12.2004875042628, 2013-01-24
3, "CSteinhardt"-"0", 43811, 249.24015379489, 118, 267.231471034085, 0, 0, 0, 2012-10-24
4, "cspieker"-"0", 41816, 242.446219468365, 165, 242.446219468365, 2, 5, 16.9565004303013, 2013-01-30
5, "Sargmacher"-"1", 32304, 229.459802553003, 370, 267.663898450647, 0, 0, 0, 2012-11-04
6, "rokakoma"-"0", 25125, 219.006377598614, 154, 228.797689625737, 2, 0, 0, 2012-11-03
7, "Fairfax"-"0", 46314, 216.173115922422, 128, 220.797949885979, 9, 24, 37.9763774000436, 2013-01-31
8, "NoFog"-"0", 38917, 215.241228358063, 81, 215.241228358063, 1, 0, 0, 2012-12-21
9, "Partysane"-"0", 41415, 208.460934546345, 275, 271.232053215511, -5, 9, -22.0898309955058, 2013-01-30
10, "Lando Calrissian"-"0", 19131, 206.441512949841, 965, 212.992539726201, 3, 16, 21.825733581095, 2013-01-31
11, "2ndWhiteLine"-"0", 37127, 202.719230326264, 164, 208.845679643122, 0, 17, 3.90031496383821, 2013-01-30
12, "The Czech"-"0", 17724, 201.409966591587, 1246, 274.240716179333, -5, 28, -21.1557661366369, 2013-01-30
13, "curtis"-"0", 18233, 197.967139205265, 411, 226.97178769582, -3, 7, -14.4091434724768, 2013-01-28
14, "guak"-"0", 30256, 184.892180048973, 183, 184.892180048973, 0, 1, 1.22587667541057, 2013-01-17
15, "thatwasawkward"-"0", 23496, 179.777528410469, 171, 194.404684586509, -3, 2, -5.24870330793007, 2013-01-18
16, "josemurc"-"0", 17667, 176.90585157731, 82, 189.38256663116, 1, 3, -1.04793877897779, 2013-01-29
17, "Zmaj"-"0", 43830, 175.951646348719, 416, 178.564775821613, 1, 0, 0, 2012-11-21
18, "seth24c"-"0", 43472, 175.229750605086, 201, 190.422986890424, 3, 1, 2.30614688658184, 2013-01-13
19, "achillies27"-"0", 34802, 174.049991210633, 153, 192.285814557783, 0, 0, 0, 2012-12-25
20, "Azogar"-"1", 3149, 170.618228108547, 14, 170.618228108547, 2, 0, 0, 2012-12-25
21, "giorgio."-"0", 23621, 169.339455965259, 68, 169.339455965259, 2, 0, 0, 2012-10-13
22, "Venomous Sheep"-"0", 21717, 169.313103915704, 62, 169.313103915704, 11, 6, 10.1161859991048, 2013-01-18
23, "Z3r0"-"0", 48815, 168.794398185055, 71, 171.645652991981, 19, 15, 19.6849884638355, 2013-01-30
